User ID #	Item #	Item Type	Item Type Modifier	Category	Category Item #	Description	Nearby
028	001	CLOTHING	01	On the Floor	001	Three pairs shoes; cobalt blue flats, blue jean and tan leather sneakers, leapord-print pumps	PLASTIC DRAWERS(02)
028	002	RUGS		On the Floor	002	Deep red and gold rug, folded up into a rectangle on top of a pile of clothing and shoes	SUEDE BOOTS, BATHROOM DOOR
028	003	CLOTHING	02	On the Floor	003	Pile of mixed clothes and shoes (sitting beneat red and gold rug); grey suede boots, black jacket, black jeans, purse, etc	FOLDED RUG, BATHROOM DOOR
028	004	PAPERS	01	On the Floor	004	White steno notepad, open to the third page; contains hand-written notes about family relationship history (?)	PLASTIC DRAWERS(01), LAPTOP, SUN CHIPS
028	005	FOOD		On the Floor	005	Open bag of Veggie Harvest flavor Sun Chips	LAPTOP, STENO NOTEPAD, BEDSIDE TABLE
028	006	ELECTRONICS	01	On the Floor	006	Closed 11" macbook air	SUN CHIPS, STENO NOTEPAD, BEDSIDE TABLE
028	007	BOOKS	01	On the Floor	007	Open and upside-down book, resting beneath laptop; also misc pile of books and papers (one envelope says "DO NOT THROW AWAY"	SUN CHIPS, STENO NOTEPAD, BEDSIDE TABLE
028	008	WALKING AIDS		On the Floor	008	Wooden cane with copper duck head on top	PLASTIC DRAWERS(01), CABLE
028	009	CORDS	01	On the Floor	009	Black cable wire coming from hole in wall, unattachd on copper end	PLASTIC DRAWERS(01), DUCK HEAD CANE
028	010	CLOTHING	03	On the Floor	010	Six (?) pairs of shoes piled underneath stacks of papers; matte black pumps, purple Uggs, grey and pink Reebok running sneakers, grey toeless pumps, shiny black pumps	PAPERS, STRAIGHTENING IRON, ALL-PURPOSE CLEANER
028	011	PAPERS	02	On the Floor	011	3 individual 1" stacks of papers, held together with large black clips; card in purple envelope with pink ribbon	PILE OF SHOES, ALL-PURPOSE CLEANER, STRAIGHTENING IRON
028	012	HAIR CARE	01	On the Floor	012	Black pony tail holder	PILE OF SHOES, PAPERS
028	013	HAIR CARE	02	On the Floor	013	Purple straightening iron, white blow drier attachment (diffuser?)	ALL-PURPOSE CLEANER, PILE OF SHOES, PAPERS
028	014	CLEANING PRODUCTS		On the Floor	014	Method All-purpose cleaner (cuts oil and grease!), purple liquid; almost empty	PILE OF SHOES, STRAIGHTENING IRON, BOOKSHELF
028	015	CORDS	02	On the Floor	015	Large black wifi router, white extension cord, misc green and yellow cords	BED, CLOSET(02)
028	016	DRAWERS	01	Furniture	001	Room Essentials 3-drawer cart (casters included!), translucent dark blue; inside can see orange ball, $1 bill, fabric, socks, pens, gold chain, wires	BATHROOM DOOR, BEDSIDE TABLE, DUCK HEAD CANE
028	017	PERSONAL ITEMS	01	Furniture	002	Stack of Tommy Hilfiger ankle socks (unopened), grey leaf-shaped ash tray with four blunts (smoked), tape measure, porcupine notepad, pen, small neon green keys, wadded paper towel (containing one quarter), perfume jar with golden honeycomb top, tube of mostly-used make-up (?)	DRAWERS(01)
