User ID #	Item #	Item Type	Item Type Modifier	Category	Category Item #	Description	Nearby
024	000	LOSS		[missing]		Close friend: passed away	
024	001	TRASH	01	On the Floor	001	Black piece of string, small white piece of cardboard, approx 1/3 of a price sticker (stuck to floor)	MIRROR, CLOSET DOOR
024	002	METALS		On the Floor	002	Wheel and metal attachment for a sliding door	CLOSET DOOR
024	003	CLOTHING	01	On the Floor	003	Blue jacket (?)	BLACK DRAWERS, WINDOW, BED
024	004	BOXES	01	On the Floor	004	One cardboard box and one cloth box; contain clothing (mostly black), one dryer sheet, white mask, plastic bubble packaging, something with a long green plastic handle	BED, WINDOW
024	005	PERSONAL ITEMS	01	On the Floor	005	One package "White Grease Makeup", still in package	BED, CLOTH BOX
024	006	BAGS	01	On the Floor	006	Large white plastic grocery bag; contains colored feathers, wire mesh key holder, orange toboggan, cords, other misc	BED
024	007	BAGS	02	On the Floor	007	Large black bag with green lettering ("Oakland: Local ______ and Original Oakland"), folded so no contents are visible; sitting atop pink and grey sweater	BED, PLASTIC BAG
024	008	CLOTHING	02	On the Floor	008	One rugged brown boot	BEDSIDE TABLE, ADIDAS BAG
024	009	BAGS	03	On the Floor	009	Black Adidas gym bag with pink lettering (empty)	BROWN BOOT, BEDSIDE TABLE
024	010	BOXES	02	On the Floor	010	Several unfolded cardboard boxes, stacked upright	BEDSIDE TABLE, BOOKSHELF
024	011	BAGS	04	On the Floor	011	Light brown messenger bag with black strap and red zipper pull (very full)	STACKED CARDBOARD, ALL-IN-ONE GROOMING KIT
024	012	PERSONAL ITEMS	02	On the Floor	012	All-in-one grooming kit (machine?), still in packaging	MESSENGER BAG, BOOKSHELF
024	013	GAMES		On the Floor	013	Game controler (?), still in packaging	ALL-IN-ONE GROOMING KIT, MESSENGER BAG
024	014	TAPE		On the Floor	014	Two rolls of tape, one clear one black, stacked on top of each other	CD CASE, BOOKSHELF
024	015	MUSIC	01	On the Floor	015	Plastic CD holder for 500 discs, approx 25% full of discs	TAPE, BOOKSHELF
024	016	BOXES	03	On the Floor	016	Two boxes, one white cardboard, one clear plastic; cardboard contains cords and papers, plastic is full of upright differently-colored envelopes	MESSENGER BAG, BOOKSHELF, STANDING DESK
024	017	MATS		On the Floor	017	Black floormat for comfort while standing (like the ones you see behind cash registers)	MESSENGER BAG, STANDING DESK
024	018	ELECTRONICS	01	On the Floor	018	Grey paper shredder	PINBOARD, STANDING DESK, METAL SHELVES
024	019	BOXES	04	On the Floor	019	Small blue and black cloth box (?)	PAPER SHREDDER
024	020	BOARDS		On the Floor	020	Black magnetic (?) pinboard; contains 14 magnetic metal clips, 1 receipt, one page of single leg isometric instructions, one hand-written note, one typed note (in new courier), one foam chalk-holder	STOOL, PAPER SHREDDER, STANDING DESK
024	021	CORDS	01	On the Floor	021	One white extension cord (nothing plugged into it)	STOOL, PINBOARD
024	022	TRASH	02	On the Floor	022	Two trash bins, one silver metal with black lid (foot-pedal operated), one white plastic	STANDING DESK, PINBOARD
